id,determination_score,determination_id,event_id,date,deployment_id,deployment_name,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,species,bbox
826383,0.831787109375,11613,10332,Jul 11 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7364.0, 3719.0, 7502.0, 3891.0]"
826384,0.850424706935882,11613,10332,Jul 11 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[805.0, 6578.0, 908.0, 6868.0]"
826385,0.5377514958381651,11613,10332,Jul 11 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[8888.0, 1080.0, 9038.0, 1247.0]"
826386,0.17819285392761203,5990,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Bombycoidea,Saturniidae,Saturniinae,Saturniini,Antheraea,Antheraea,Antheraea polyphemus,"[7828.0, 5902.0, 8954.0, 6906.0]"
826387,0.36586153507232605,6935,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Scopariinae,Scoparia,,Scoparia,Scoparia biplagialis,"[6435.0, 3816.0, 6580.0, 3969.0]"
826388,0.23985035717487302,6181,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Crambinae,Crambini,Neodactria,Neodactria,Neodactria luteolellus,"[5985.0, 4159.0, 6125.0, 4337.0]"
826389,0.08003875613212501,6116,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Pyralidae,Pyralinae,Pyralini,Aglossa,Aglossa,Aglossa disciferalis,"[941.0, 1125.0, 1048.0, 1311.0]"
826390,0.11726633459329601,5114,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Erebinae,Thermesiini,Ascalapha,Ascalapha,Ascalapha odorata,"[0.0, 5670.0, 1125.0, 6944.0]"
826391,0.37244164943695,15,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Pyralidae,Chrysauginae,Arta,,Arta,Arta statalis,"[4127.0, 4094.0, 4307.0, 4218.0]"
826392,0.30634808540344205,15,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Pyralidae,Chrysauginae,Arta,,Arta,Arta statalis,"[4289.0, 3645.0, 4445.0, 3799.0]"
826393,1.0,15,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Pyralidae,Chrysauginae,Arta,,Arta,Arta statalis,"[3547.0, 817.0, 3732.0, 1007.0]"
826394,0.21639955043792702,7494,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Sparganothini,Cenopis,Cenopis,Cenopis diluticostana,"[2976.0, 1376.0, 3171.0, 1521.0]"
826395,0.19823233783245,6155,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Crambinae,Crambini,Crambus,Crambus,Crambus praefectellus,"[1982.0, 1332.0, 2200.0, 1525.0]"
826396,1.0,8357,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Noctuidae,Eustrotiinae,,,,,"[892.0, 5128.0, 1105.0, 5370.0]"
826397,0.19884721934795302,7494,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Sparganothini,Cenopis,Cenopis,Cenopis diluticostana,"[3192.0, 836.0, 3312.0, 1021.0]"
826398,0.131480649113655,6937,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Crambidae,Glaphyriinae,Glaphyriini,Glaphyria,Glaphyria,Glaphyria sesquistrialis,"[3274.0, 4718.0, 3441.0, 4892.0]"
826399,0.40152868628501803,7585,10332,Jul 11 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Olethreutinae,Eucosmini,Pelochrista,Pelochrista,Pelochrista similiana,"[1955.0, 4140.0, 2122.0, 4317.0]"
826400,0.9411677122116081,11613,10383,Jun 25 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[1673.0, 1782.0, 2004.0, 2220.0]"
826401,0.6772380471229551,11613,10383,Jun 25 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[399.0, 1669.0, 564.0, 1839.0]"
826402,0.5182168483734131,11613,10383,Jun 25 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[1868.0, 1389.0, 2037.0, 1565.0]"
826403,0.957471489906311,11613,10383,Jun 25 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[2746.0, 1905.0, 2995.0, 2101.0]"
826404,0.9499158263206481,11613,10383,Jun 25 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[4097.0, 2659.0, 4356.0, 2789.0]"
826405,0.94748854637146,11613,10383,Jun 25 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7896.0, 5334.0, 9152.0, 6944.0]"
826406,1.0,5993,10383,Jun 25 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Bombycoidea,Saturniidae,Ceratocampinae,Anisota,,Anisota,Anisota virginiensis,"[42.0, 5534.0, 1480.0, 6944.0]"
826407,1.0,6569,10383,Jun 25 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Lasiocampoidea,Lasiocampidae,Lasiocampinae,Lasiocampini,Malacosoma,Malacosoma,Malacosoma disstria,"[6184.0, 4865.0, 6526.0, 5363.0]"
826408,0.070092938840389,1611,10383,Jun 25 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Momphidae,Momphinae,Mompha,,Mompha,Mompha idaei,"[4834.0, 2104.0, 4939.0, 2260.0]"
826409,0.143076732754707,1872,10383,Jun 25 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Elachistidae,Agonoxeninae,Blastodacnini,Blastodacna,Blastodacna,Blastodacna atra,"[2659.0, 3610.0, 2793.0, 3760.0]"
826410,0.071872040629386,7260,10383,Jun 25 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Scoliopteryginae,Anomini,Rusicada,Rusicada,Rusicada privata,"[4305.0, 5469.0, 4596.0, 5857.0]"
826411,0.06157598644495001,232,10383,Jun 25 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Olethreutinae,Grapholitini,Dichrorampha,Dichrorampha,Dichrorampha vancouverana,"[3511.0, 358.0, 3615.0, 512.0]"
826412,0.9356838464736931,11613,10398,Sep 10 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[6277.0, 641.0, 7011.0, 1359.0]"
